=== OUVERTURE V11.1 - TEMPS CUMULE ===

Mon Aug 10 14:15:18 2026    C:\Users\PC\projet\cache\profil_ouverture_v11.prof

         2062595 function calls (2012643 primitive calls) in 118.180 seconds

   Ordered by: cumulative time
   List reduced from 1950 to 100 due to restriction <100>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.006    0.003 document_view.py:524(__init__)
       96    0.000    0.000    0.006    0.000 ctk_button.py:109(_create_bindings)
       22    0.000    0.000    0.005    0.000 mockup_view.py:1572(draw_item)
       61    0.001    0.000    0.005    0.000 ctk_frame.py:67(winfo_children)
       22    0.001    0.000    0.005    0.000 mockup_view.py:2491(_canvas_group_page_count)
        2    0.000    0.000    0.004    0.002 document_view.py:594(_create_internal_navigation_ribbon)
       44    0.002    0.000    0.004    0.000 mockup_view.py:10671(_normalize_item)
        3    0.000    0.000    0.004    0.001 ctk_scrollbar.py:224(_on_enter)
        3    0.000    0.000    0.004    0.001 ctk_scrollbar.py:231(_on_leave)
        2    0.000    0.000    0.004    0.002 mockup_view.py:662(_create_internal_navigation_ribbon)
        4    0.000    0.000    0.003    0.001 mockup_view.py:2582(_draw_canvas_fixed_group)
        1    0.000    0.000    0.003    0.003 ctk_tk.py:199(geometry)
       22    0.000    0.000    0.003    0.000 document_view.py:650(draw_icon)
        2    0.000    0.000    0.003    0.001 document_view.py:1799(_load_regulation_snapshot)
       92    0.000    0.000    0.003    0.000 ctk_frame.py:185(bind)
      200    0.001    0.000    0.003    0.000 document_view.py:5128(_conception_page_for_synoptic_item)
        2    0.000    0.000    0.003    0.001 mockup_view.py:8335(_enforce_structural_order)
      160    0.002    0.000    0.003    0.000 document_view.py:1991(blend)
       22    0.000    0.000    0.003    0.000 mockup_view.py:774(draw_icon)
        2    0.000    0.000    0.002    0.001 mockup_view.py:10964(_update_summary)
      326    0.001    0.000    0.002    0.000 document_view.py:2017(item_accent)
      176    0.001    0.000    0.002    0.000 document_view.py:2158(type_code_for_item)
      694    0.002    0.000    0.002    0.000 ctk_base_class.py:59(GeometryCallDict)
      202    0.001    0.000    0.002    0.000 document_view.py:4938(_load_project_pages)
     3528    0.001    0.000    0.001    0.000 ctk_frame.py:169(cget)
      404    0.001    0.000    0.001    0.000 ctk_base_class.py:153(_check_font_type)
        2    0.001    0.000    0.001    0.001 mockup_view.py:8989(_apply_recto_verso_rules)
        1    0.000    0.000    0.001    0.001 ctk_font.py:1(<module>)
       14    0.000    0.000    0.001    0.000 ctk_scrollable_frame.py:78(<lambda>)
      112    0.001    0.000    0.001    0.000 mockup_view.py:3595(_mix_color_with_white)
      678    0.001    0.000    0.001    0.000 mockup_view.py:10453(_page_types)
        2    0.001    0.000    0.001    0.001 mockup_view.py:10617(_normalize_page_types)
        2    0.000    0.000    0.001    0.000 mockup_view.py:10955(_run_silent_structure_check)
        2    0.001    0.000    0.001    0.000 mockup_view.py:10735(_structure_issues)
       16    0.000    0.000    0.001    0.000 ctk_base_class.py:255(place)
      230    0.001    0.000    0.001    0.000 ctk_scrollable_frame.py:221(cget)
        6    0.000    0.000    0.001    0.000 ctk_scrollbar.py:77(_create_bindings)
        7    0.000    0.000    0.001    0.000 document_view.py:5465(_hide_project_tools_for_subspace)
     1799    0.001    0.000    0.001    0.000 ctk_base_class.py:102(_draw)
        1    0.000    0.000    0.001    0.001 ctk_button.py:13(CTkButton)
        1    0.000    0.000    0.001    0.001 ctk_canvas.py:1(<module>)
        2    0.000    0.000    0.001    0.000 mockup_view.py:10556(_normalize_groups)
        1    0.000    0.000    0.001    0.001 ctk_canvas.py:34(init_font_character_mapping)
       10    0.000    0.000    0.001    0.000 ctk_font.py:27(__init__)
        4    0.000    0.000    0.001    0.000 ctk_scrollable_frame.py:108(_create_grid)
        1    0.000    0.000    0.001    0.001 ctk_canvas.py:6(CTkCanvas)
        1    0.000    0.000    0.001    0.001 ctk_switch.py:1(<module>)
        7    0.000    0.000    0.001    0.000 mockup_view.py:10090(_activate_global_shortcuts)
        4    0.000    0.000    0.001    0.000 ctk_button.py:161(_update_font)
        1    0.000    0.000    0.001    0.001 ctk_slider.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ctk_combobox.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ctk_switch.py:12(CTkSwitch)
       16    0.000    0.000    0.000    0.000 ctk_tk.py:83(set_focus)
        1    0.000    0.000    0.000    0.000 ctk_optionmenu.py:1(<module>)
      128    0.000    0.000    0.000    0.000 document_view.py:2052(thumbnail_filename_for_type)
        1    0.000    0.000    0.000    0.000 ctk_slider.py:11(CTkSlider)
        4    0.000    0.000    0.000    0.000 mockup_view.py:8951(_new_automatic_blank)
        1    0.000    0.000    0.000    0.000 ctk_font.py:12(CTkFont)
        1    0.000    0.000    0.000    0.000 ctk_combobox.py:14(CTkComboBox)
        1    0.000    0.000    0.000    0.000 ctk_segmented_button.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ctk_scrollable_frame.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ctk_frame.py:1(<module>)
        1    0.000    0.000    0.000    0.000 mockup_view.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ctk_radiobutton.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ctk_textbox.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ctk_progressbar.py:1(<module>)
        4    0.000    0.000    0.000    0.000 ctk_scrollable_frame.py:250(_fit_frame_dimensions_to_canvas)
        1    0.000    0.000    0.000    0.000 ctk_label.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ctk_optionmenu.py:14(CTkOptionMenu)
      176    0.000    0.000    0.000    0.000 document_view.py:2192(<genexpr>)
        4    0.000    0.000    0.000    0.000 mockup_view.py:8189(_new_item_from_definition)
        2    0.000    0.000    0.000    0.000 mockup_view.py:8905(_normalize_recto_verso_rules)
        1    0.000    0.000    0.000    0.000 ctk_checkbox.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ctk_tabview.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ctk_frame.py:9(CTkFrame)
       24    0.000    0.000    0.000    0.000 document_view.py:643(hex_to_rgb)
        1    0.000    0.000    0.000    0.000 ctk_segmented_button.py:16(CTkSegmentedButton)
       24    0.000    0.000    0.000    0.000 mockup_view.py:760(hex_to_rgb)
       36    0.000    0.000    0.000    0.000 ctk_scrollbar.py:111(_get_scrollbar_values_for_minimum_pixel_size)
        4    0.000    0.000    0.000    0.000 ctk_scrollable_frame.py:313(grid)
        2    0.000    0.000    0.000    0.000 document_view.py:2343(expand_items)
        1    0.000    0.000    0.000    0.000 ctk_entry.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ctk_input_dialog.py:1(<module>)
        2    0.000    0.000    0.000    0.000 mockup_view.py:10937(_clear_legacy_manual_done_flags)
        1    0.000    0.000    0.000    0.000 ctk_radiobutton.py:12(CTkRadioButton)
        2    0.000    0.000    0.000    0.000 mockup_view.py:10514(_mockup_file)
       48    0.000    0.000    0.000    0.000 mockup_view.py:7055(_sequence_progress_counts)
        1    0.000    0.000    0.000    0.000 ctk_scrollable_frame.py:21(CTkScrollableFrame)
        1    0.000    0.000    0.000    0.000 mockup_view.py:21(MockupView)
        1    0.000    0.000    0.000    0.000 ctk_toplevel.py:1(<module>)
       54    0.000    0.000    0.000    0.000 mockup_view.py:10446(_groups)
        1    0.000    0.000    0.000    0.000 ctk_progressbar.py:15(CTkProgressBar)
       42    0.000    0.000    0.000    0.000 mockup_view.py:10981(<genexpr>)
        1    0.000    0.000    0.000    0.000 ctk_scrollbar.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ctk_textbox.py:13(CTkTextbox)
       42    0.000    0.000    0.000    0.000 mockup_view.py:10439(_items)
        1    0.000    0.000    0.000    0.000 ctk_label.py:13(CTkLabel)
      412    0.000    0.000    0.000    0.000 ctk_base_class.py:172(_check_image_type)
        4    0.000    0.000    0.000    0.000 ctk_scrollable_frame.py:256(_set_scroll_increments)
       46    0.000    0.000    0.000    0.000 document_view.py:1874(<genexpr>)
        1    0.000    0.000    0.000    0.000 ctk_tabview.py:13(CTkTabview)
        1    0.000    0.000    0.000    0.000 ctk_image.py:8(CTkImage)
       88    0.000    0.000    0.000    0.000 document_view.py:662(<genexpr>)
       14    0.000    0.000    0.000    0.000 ctk_tk.py:225(cget)
       88    0.000    0.000    0.000    0.000 mockup_view.py:798(<genexpr>)
        2    0.000    0.000    0.000    0.000 mockup_view.py:8971(_recto_rule_type_sets)
        4    0.000    0.000    0.000    0.000 ctk_base_class.py:234(_set_dimensions)
        1    0.000    0.000    0.000    0.000 ctk_checkbox.py:12(CTkCheckBox)
        2    0.000    0.000    0.000    0.000 mockup_view.py:8396(_eligible_recto_verso_types)
        1    0.000    0.000    0.000    0.000 document_view.py:222(DocumentView)
       48    0.000    0.000    0.000    0.000 document_view.py:1868(count_of)
        8    0.000    0.000    0.000    0.000 mockup_view.py:10108(_deactivate_global_shortcuts)
        2    0.000    0.000    0.000    0.000 document_view.py:2802(make_display_units)
        6    0.000    0.000    0.000    0.000 document_view.py:5507(_restore_project_tools_after_subspace)
        6    0.000    0.000    0.000    0.000 ctk_image.py:21(__init__)
       96    0.000    0.000    0.000    0.000 document_view.py:645(<genexpr>)
        1    0.000    0.000    0.000    0.000 ctk_entry.py:12(CTkEntry)
       96    0.000    0.000    0.000    0.000 mockup_view.py:764(<genexpr>)
        1    0.000    0.000    0.000    0.000 resize_command.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ctk_input_dialog.py:11(CTkInputDialog)
       46    0.000    0.000    0.000    0.000 mockup_view.py:10966(<genexpr>)
        2    0.000    0.000    0.000    0.000 workspace.py:147(_wrap_document_view_navigation)
       56    0.000    0.000    0.000    0.000 ctk_tk.py:96(_focus_in_event)
        1    0.000    0.000    0.000    0.000 ctk_scrollbar.py:10(CTkScrollbar)
       14    0.000    0.000    0.000    0.000 ctk_font.py:53(remove_size_configure_callback)
        1    0.000    0.000    0.000    0.000 ctk_toplevel.py:16(CTkToplevel)
        2    0.000    0.000    0.000    0.000 mockup_view.py:8118(_update_page_type_button_states)
        6    0.000    0.000    0.000    0.000 document_view.py:1877(<genexpr>)
       42    0.000    0.000    0.000    0.000 mockup_view.py:10977(<genexpr>)
        1    0.000    0.000    0.000    0.000 ctk_tk.py:18(CTk)
        2    0.000    0.000    0.000    0.000 mockup_view.py:7802(_selected_items)
