=== TOP 120 - TEMPS CUMULÉ ===

Mon Aug 10 13:58:40 2026    C:\Users\PC\projet\cache\pagemaitre_affichage.prof

         1137972 function calls (1109293 primitive calls) in 16.584 seconds

   Ordered by: cumulative time
   List reduced from 1948 to 120 due to restriction <120>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1466    0.005    0.000    0.005    0.000 {method 'remove' of 'list' objects}
       64    0.005    0.000    0.708    0.011 ImageFile.py:291(load)
      368    0.004    0.000    0.010    0.000 enum.py:252(__set_name__)
      783    0.004    0.000    0.021    0.000 _local.py:227(__str__)
        5    0.004    0.001    0.023    0.005 __init__.py:120(dump)
   138/87    0.004    0.000    1.471    0.017 Image.py:2329(resize)
     1065    0.004    0.000    0.010    0.000 __init__.py:682(destroy)
     5579    0.004    0.000    0.004    0.000 {built-in method builtins.round}
     1296    0.004    0.000    0.007    0.000 _local.py:117(__init__)
   146/29    0.004    0.000    0.011    0.000 _parser.py:511(_parse)
  856/453    0.004    0.000    0.006    0.000 ctk_base_class.py:190(_detect_color_of_master)
     2136    0.004    0.000    0.004    0.000 enum.py:1158(__new__)
      950    0.004    0.000    0.013    0.000 typing.py:173(_type_check)
        2    0.004    0.002    0.360    0.180 document_view.py:2381(make_background)
     2826    0.004    0.000    0.004    0.000 scaling_base_class.py:83(_reverse_window_scaling)
      261    0.004    0.000    0.004    0.000 decoder.py:351(raw_decode)




=== FILTRE TK / CTK / PIL / SHOW / DESTROY / RESIZE ===

Mon Aug 10 13:58:40 2026    C:\Users\PC\projet\cache\pagemaitre_affichage.prof

         1137972 function calls (1109293 primitive calls) in 16.584 seconds

   Ordered by: cumulative time
   List reduced from 1948 to 67 due to restriction <'tkinter|customtkinter|PIL|show|destroy|resize|winfo|update'>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    5.915    5.915   11.713   11.713 {method 'mainloop' of '_tkinter.tkapp' objects}
53618/34761    5.481    0.000    7.031    0.000 {method 'call' of '_tkinter.tkapp' objects}
    29/16    0.000    0.000    3.025    0.189 __init__.py:1469(update_idletasks)
        1    0.001    0.001    1.922    1.922 mockup_view.py:374(show)
        1    0.000    0.000    1.748    1.748 workspace.py:72(show_dashboard)
        1    0.000    0.000    1.742    1.742 dashboard_view.py:156(show)
   138/87    0.004    0.000    1.471    0.017 Image.py:2329(resize)
       87    1.396    0.016    1.396    0.016 {method 'resize' of 'ImagingCore' objects}
        2    0.000    0.000    1.325    0.663 __init__.py:1465(update)
  617/540    0.005    0.000    0.929    0.002 ctk_base_class.py:182(_update_dimensions_event)
   1064/5    0.013    0.000    0.704    0.141 __init__.py:2796(destroy)
    411/3    0.002    0.000    0.697    0.232 ctk_base_class.py:94(destroy)
        1    0.000    0.000    0.643    0.643 ctk_tk.py:88(destroy)
        1    0.000    0.000    0.643    0.643 __init__.py:2510(destroy)
        1    0.000    0.000    0.406    0.406 workspace.py:90(show_documents)
        1    0.401    0.401    0.401    0.401 {built-in method _tkinter.create}
      184    0.001    0.000    0.308    0.002 ctk_label.py:164(destroy)
        1    0.000    0.000    0.236    0.236 document_view.py:558(show)
        3    0.000    0.000    0.224    0.075 ctk_scrollable_frame.py:102(destroy)
       51    0.000    0.000    0.123    0.002 ctk_button.py:179(destroy)
      205    0.005    0.000    0.086    0.000 appearance_mode_tracker.py:80(update)
    33485    0.083    0.000    0.083    0.000 {method 'getint' of '_tkinter.tkapp' objects}
        4    0.042    0.011    0.042    0.011 {built-in method PIL._imaging.alpha_composite}
      182    0.000    0.000    0.042    0.000 ctk_label.py:157(_update_image)
     1412    0.011    0.000    0.035    0.000 ctk_tk.py:101(_update_dimensions_event)
    35953    0.025    0.000    0.025    0.000 {built-in method _tkinter._flatten}
        1    0.000    0.000    0.023    0.023 mockup_view.py:7451(_update_selection_controls)
       64    0.022    0.000    0.022    0.000 {built-in method PIL._imaging.fill}
        1    0.000    0.000    0.021    0.021 document_view.py:3547(show_centre_tab)
    33616    0.020    0.000    0.020    0.000 {method 'splitlist' of '_tkinter.tkapp' objects}
    22669    0.017    0.000    0.017    0.000 {method 'update' of 'dict' objects}
     1435    0.002    0.000    0.014    0.000 __init__.py:1448(winfo_width)
      415    0.001    0.000    0.010    0.000 scaling_base_class.py:43(destroy)
     1065    0.004    0.000    0.010    0.000 __init__.py:682(destroy)
        1    0.000    0.000    0.008    0.008 mockup_view.py:9838(_update_history_buttons)
     4178    0.008    0.000    0.008    0.000 {method 'getboolean' of '_tkinter.tkapp' objects}
     1572    0.008    0.000    0.008    0.000 {method 'createcommand' of '_tkinter.tkapp' objects}
      510    0.001    0.000    0.008    0.000 __init__.py:1231(winfo_exists)
     1572    0.008    0.000    0.008    0.000 {method 'deletecommand' of '_tkinter.tkapp' objects}
       56    0.006    0.000    0.006    0.000 {built-in method PIL._imaging.new}
     1436    0.002    0.000    0.006    0.000 __init__.py:1246(winfo_height)
        4    0.000    0.000    0.005    0.001 ctk_progressbar.py:111(destroy)
      415    0.002    0.000    0.004    0.000 appearance_mode_base_class.py:19(destroy)
       42    0.000    0.000    0.003    0.000 ctk_frame.py:67(winfo_children)
       75    0.001    0.000    0.003    0.000 __init__.py:1251(winfo_id)
       43    0.001    0.000    0.003    0.000 __init__.py:1197(winfo_children)
       63    0.002    0.000    0.002    0.000 {built-in method PIL._imaging.new_block}
        1    0.000    0.000    0.001    0.001 mockup_view.py:10572(_update_summary)
      303    0.001    0.000    0.001    0.000 dataclasses.py:1222(_update_func_cell_for__class__)
      810    0.001    0.000    0.001    0.000 {method 'update' of 'set' objects}
        2    0.000    0.000    0.000    0.000 ctk_button.py:161(_update_font)
       56    0.000    0.000    0.000    0.000 {built-in method PIL._imaging.zip_decoder}
        6    0.000    0.000    0.000    0.000 __init__.py:1383(winfo_toplevel)
        9    0.000    0.000    0.000    0.000 functools.py:36(update_wrapper)
        1    0.000    0.000    0.000    0.000 resize_command.py:1(<module>)
       24    0.000    0.000    0.000    0.000 <frozen abc>:146(update_abstractmethods)
        2    0.000    0.000    0.000    0.000 mockup_view.py:7726(_update_page_type_button_states)
       28    0.000    0.000    0.000    0.000 {built-in method PIL._imaging.draw}
        1    0.000    0.000    0.000    0.000 resize_command.py:7(ResizeCommand)
        2    0.000    0.000    0.000    0.000 {method 'getvar' of '_tkinter.tkapp' objects}
        1    0.000    0.000    0.000    0.000 {built-in method PIL._imagingtk.tkinit}
        1    0.000    0.000    0.000    0.000 weakref.py:289(update)
        1    0.000    0.000    0.000    0.000 mockup_view.py:9726(_on_root_destroyed)
        2    0.000    0.000    0.000    0.000 workspace.py:246(_destroy_cleanup_view)
        1    0.000    0.000    0.000    0.000 dashboard_view.py:2224(_on_home_destroy)
        1    0.000    0.000    0.000    0.000 {method 'intersection_update' of 'set' objects}
        1    0.000    0.000    0.000    0.000 {method 'interpaddr' of '_tkinter.tkapp' objects}


